Variable,Coef_Ext,SE_Ext,P_Ext,Lower_CI_Ext,Upper_CI_Ext,Phase_Ext,Coef_Ret,SE_Ret,P_Ret,Lower_CI_Ret,Upper_CI_Ret,Phase_Ret,Percent_Change
Intercept,-11.340053208872577,0.9167637603178251,3.8144708992276966e-35,-13.136877161427025,-9.54322925631813,Extinction (Day 1),-10.43588820514069,0.4737019536041406,1.469608138248086e-107,-11.36432697361107,-9.507449436670312,Retention (Day 7),7.973198953109484
"C(Q('Treatment Group'), Treatment(reference='Vehicle'))[T.Psilocybin]",-3.0001696495999943,1.4020976334787216,0.03237317446681124,-5.74823051402713,-0.25210878517285895,Extinction (Day 1),-4.521181740693358,1.10491465743699,4.278841368077939e-05,-6.686774675260269,-2.355588806126446,Retention (Day 7),-50.6975360975389
"C(Stim, Treatment(reference='Loom 1'))[T.Loom 2]",0.722483683459305,0.15745432924856617,4.463812879460227e-06,0.4138788689222037,1.0310884979964063,Extinction (Day 1),-0.46085452933050963,1.4867974321317456,0.756587898012202,-3.374923948615366,2.453214889954347,Retention (Day 7),-163.78753456741114
"C(Stim, Treatment(reference='Loom 1'))[T.Loom 3]",1.9829552678858289,1.2465855661813698,0.11167501036581139,-0.46030754547712793,4.426218081248786,Extinction (Day 1),0.9834064618297454,1.0435653678739496,0.3460121836026794,-1.061944074716488,3.0287569983759792,Retention (Day 7),-50.40702744251887
"C(Macro_Region, Treatment(reference='SC'))[T.MRN]",3.838837530328993,2.021443976002026,0.05755696911847628,-0.12311985940042725,7.800794920058413,Extinction (Day 1),5.587166370870764,1.0113031806140005,3.300124800068543e-08,3.6050485594165176,7.569284182325011,Retention (Day 7),45.54318401674939
"C(Macro_Region, Treatment(reference='SC'))[T.PAG]",-1.9165909924351026,2.629002045589022,0.465990377581053,-7.069340317071715,3.2361583322015104,Extinction (Day 1),-1.5871980606071678,3.742059226664962,0.6714557134964332,-8.9214993728863,5.747103251671964,Retention (Day 7),17.18639673921395
"C(Macro_Region, Treatment(reference='SC'))[T.RN]",5.757355783024138,1.4781099075085367,9.816647667491206e-05,2.8603135991155764,8.6543979669327,Extinction (Day 1),5.187469369016565,1.2534837347351668,3.496726855512784e-05,2.7306863937288792,7.644252344304251,Retention (Day 7),-9.898405370185964
"C(Macro_Region, Treatment(reference='SC'))[T.RSPd1]",2.2799458223909927,3.337693420362809,0.4945498179858856,-4.26181307295642,8.821704717738404,Extinction (Day 1),1.8290413208780443,1.075383103957705,0.08897535498600091,-0.27867083246195046,3.936753474218039,Retention (Day 7),-19.77698316708606
"C(Macro_Region, Treatment(reference='SC'))[T.RSPd2/3]",2.235849514338689,1.3648162863460225,0.10137883765171471,-0.4391412524132208,4.910840281090598,Extinction (Day 1),1.9338952299532524,0.6362284198050853,0.002368736007473538,0.6869104411944551,3.18088001871205,Retention (Day 7),-13.505125566321825
"C(Macro_Region, Treatment(reference='SC'))[T.RSPv1]",0.07209121694568545,1.8640977883977592,0.9691506882219668,-3.581473311974689,3.7256557458660597,Extinction (Day 1),-0.6668417311280702,2.147415463778811,0.7561562474931514,-4.8756986999789165,3.5420152377227763,Retention (Day 7),-1024.9971901992974
"C(Macro_Region, Treatment(reference='SC'))[T.RSPv2/3]",0.3028064573319409,2.510027549161594,0.9039772155175071,-4.616757139228124,5.222370053892005,Extinction (Day 1),-0.7582042151090035,2.699569606481294,0.7788169020772607,-6.049263417571306,4.532854987353299,Retention (Day 7),-350.39235351505357
"C(Macro_Region, Treatment(reference='SC'))[T.Void]",0.9817669615289872,1.2346010001627676,0.4264914027863992,-1.4380065340671668,3.401540457125141,Extinction (Day 1),-1.1364768303147315,1.6475943308496386,0.49033284829373247,-4.365702379912393,2.0927487192829304,Retention (Day 7),-215.75830872784735
"C(Q('Treatment Group'), Treatment(reference='Vehicle'))[T.Psilocybin]:C(Stim, Treatment(reference='Loom 1'))[T.Loom 2]",0.3444287051769655,1.124041418150762,0.759284927283722,-1.8586519915298552,2.547509401883786,Extinction (Day 1),3.6779285867955074,1.483457135766779,0.013164219760787318,0.7704060280836753,6.5854511455073395,Retention (Day 7),967.8345130687667
"C(Q('Treatment Group'), Treatment(reference='Vehicle'))[T.Psilocybin]:C(Stim, Treatment(reference='Loom 1'))[T.Loom 3]",-0.01330502215440316,2.6938172820511905,0.9960591875821537,-5.293089875906314,5.266479831597507,Extinction (Day 1),2.063075798016396,1.2942110687386663,0.11091814941104172,-0.47353128510448217,4.599682881137275,Retention (Day 7),15605.992955702388
latency_z,0.20367647381126994,0.6091591388088189,0.7381103668050187,-0.9902534991074505,1.3976064467299905,Extinction (Day 1),0.8211397088946776,0.49000551506791323,0.09378198608818242,-0.13925345286443114,1.7815328706537863,Retention (Day 7),303.15883986461756
